,Class0,Class1,Class2,Class3,Class4
129,1,0,0,1,1
130,0,1,0,1,1
131,0,1,0,1,1
132,0,1,0,1,1
133,1,0,1,0,1
134,0,1,0,1,1
135,0,1,0,1,1
136,0,1,1,1,0
137,1,1,1,0,0
138,1,0,0,1,1
139,1,1,1,0,0
140,1,0,0,1,1
141,1,0,1,1,0
142,0,1,1,0,1
143,1,1,0,1,0
144,1,0,0,1,1
145,1,0,1,0,1
146,0,1,0,1,1
147,0,1,1,1,0
148,1,1,0,0,1
149,1,0,1,1,0
150,1,0,1,0,1
151,1,0,0,1,1
152,1,0,1,0,1
153,1,0,0,1,1
154,0,1,1,0,1
155,1,1,0,1,0
156,1,1,0,1,0
157,1,1,0,0,1
158,0,1,1,1,0
159,1,1,0,0,1
160,1,1,0,1,0
161,1,0,1,1,0
162,0,1,1,1,0
163,0,1,0,1,1
164,1,1,0,0,1
165,0,1,0,1,1
166,0,1,0,1,1
167,1,1,1,0,0
168,1,1,0,0,1
169,1,1,1,0,0
170,1,0,1,1,0
171,0,1,0,1,1
172,1,0,1,0,1
173,1,1,0,1,0
174,1,0,1,0,1
175,1,1,0,0,1
176,0,1,1,0,1
177,0,1,1,1,0
178,1,1,0,1,0
179,1,1,0,0,1
180,1,1,0,1,0
181,0,1,1,0,1
182,0,0,1,1,1
183,0,1,1,1,0
184,0,1,0,1,1
185,0,1,0,1,1
186,1,1,1,0,0
187,1,1,0,0,1
188,0,1,1,0,1
189,1,1,0,0,1
190,0,1,1,0,1
191,0,1,0,1,1
192,1,0,1,1,0
193,1,1,0,0,1
194,1,0,1,0,1
195,1,1,0,0,1
196,1,1,0,1,0
197,1,0,0,1,1
198,0,1,1,1,0
199,0,1,1,0,1
200,0,0,1,1,1
201,1,1,0,1,0
202,0,1,0,1,1
203,1,1,1,0,0
204,0,1,0,1,1
205,1,0,0,1,1
206,1,0,1,0,1
207,1,0,0,1,1
208,0,1,1,0,1
209,1,0,1,0,1
210,0,1,1,0,1
211,0,1,1,1,0
212,0,1,1,1,0
213,0,0,1,1,1
214,1,0,0,1,1
215,1,0,0,1,1
216,0,1,1,0,1
217,0,0,1,1,1
218,0,1,1,0,1
219,1,1,0,1,0
220,1,0,0,1,1
221,1,0,1,1,0
222,1,1,0,0,1
223,0,1,0,1,1
224,0,1,1,0,1
225,1,0,1,1,0
226,1,0,0,1,1
227,1,0,1,0,1
228,1,1,0,0,1
229,1,1,1,0,0
230,1,1,0,1,0
231,1,0,1,1,0
232,1,1,0,0,1
233,0,1,0,1,1
234,1,1,0,1,0
235,0,1,1,0,1
236,0,0,1,1,1
237,0,0,1,1,1
238,1,0,1,0,1
239,1,1,1,0,0
240,1,1,0,1,0
241,0,0,1,1,1
242,0,1,1,1,0
243,0,1,0,1,1
244,1,1,1,0,0
245,0,1,0,1,1
246,1,1,1,0,0
247,0,0,1,1,1
248,0,1,0,1,1
249,0,1,1,1,0
250,1,0,1,0,1
251,0,1,0,1,1
252,0,0,1,1,1
253,1,0,1,0,1
254,0,1,0,1,1
255,1,1,1,0,0
256,1,0,1,1,0
257,0,0,1,1,1
258,0,1,0,1,1
259,1,1,0,0,1
260,0,1,0,1,1
261,1,1,0,1,0
262,0,0,1,1,1
263,1,1,1,0,0
264,0,0,1,1,1
265,1,0,0,1,1
266,1,1,1,0,0
267,1,1,0,1,0
268,1,1,0,0,1
269,1,1,0,1,0
270,1,0,0,1,1
271,0,1,1,1,0
272,1,1,0,0,1
273,1,0,1,1,0
274,1,1,0,0,1
275,0,1,0,1,1
276,1,0,1,1,0
277,1,0,0,1,1
278,0,1,1,1,0
279,1,1,1,0,0
280,1,1,1,0,0
281,1,1,1,0,0
282,0,1,0,1,1
283,0,1,1,1,0
284,1,1,0,1,0
285,1,1,0,1,0
286,1,1,0,1,0
287,1,1,0,0,1
288,0,1,1,1,0
289,0,1,1,1,0
290,1,0,0,1,1
291,1,1,0,1,0
292,1,1,0,0,1
293,0,1,1,0,1
294,1,1,1,0,0
295,1,0,1,0,1
296,0,1,1,1,0
297,1,0,1,1,0
298,1,1,1,0,0
299,1,1,0,0,1
300,1,0,1,0,1
301,1,0,1,0,1
302,1,1,0,0,1
303,0,0,1,1,1
304,0,0,1,1,1
305,1,0,1,0,1
306,1,0,1,0,1
307,1,0,0,1,1
308,1,1,0,1,0
309,0,1,0,1,1
310,1,0,1,1,0
311,1,1,0,0,1
312,0,1,1,0,1
313,1,1,0,0,1
314,1,1,0,0,1
315,0,1,1,1,0
316,1,0,0,1,1
317,1,1,0,1,0
318,0,1,1,1,0
319,1,1,0,1,0
320,0,1,1,0,1
321,0,0,1,1,1
322,0,1,1,0,1
323,1,1,1,0,0
324,0,1,0,1,1
325,1,0,0,1,1
326,1,0,0,1,1
327,0,0,1,1,1
328,0,1,1,1,0
329,0,1,0,1,1
330,0,1,1,0,1
331,0,0,1,1,1
332,1,1,0,1,0
333,1,0,1,1,0
334,0,1,1,0,1
335,0,0,1,1,1
336,1,0,0,1,1
337,0,1,1,1,0
338,0,1,1,1,0
339,1,1,0,1,0
340,0,1,1,1,0
341,0,1,1,0,1
342,1,0,1,1,0
343,1,0,1,0,1
344,1,0,1,1,0
345,1,0,0,1,1
346,1,1,1,0,0
347,1,0,1,1,0
348,0,1,0,1,1
349,1,0,0,1,1
350,1,0,1,1,0
351,0,1,1,1,0
352,1,0,1,1,0
353,0,1,1,1,0
354,0,1,0,1,1
355,0,0,1,1,1
356,1,1,0,0,1
357,1,1,0,0,1
358,1,0,1,0,1
359,0,1,1,1,0
360,0,1,1,0,1
361,1,0,1,0,1
362,1,1,0,0,1
363,0,1,1,0,1
364,0,1,1,1,0
365,1,1,1,0,0
366,0,0,1,1,1
367,1,1,0,0,1
368,1,0,1,1,0
369,1,0,1,1,0
370,1,1,0,0,1
371,1,1,0,0,1
372,1,1,0,1,0
373,1,1,0,0,1
374,1,0,1,0,1
375,0,1,1,0,1
376,1,0,0,1,1
377,0,1,1,1,0
378,1,1,0,0,1
379,1,1,1,0,0
380,1,0,1,1,0
381,1,0,0,1,1
382,0,1,1,0,1
383,1,0,0,1,1
384,0,1,1,0,1
385,0,1,0,1,1
386,0,0,1,1,1
387,0,0,1,1,1
388,1,0,0,1,1
389,1,1,1,0,0
390,0,1,1,1,0
391,1,0,1,0,1
392,1,0,0,1,1
393,1,0,0,1,1
394,0,1,0,1,1
395,0,0,1,1,1
396,1,0,0,1,1
397,1,0,1,0,1
398,0,1,1,0,1
399,0,1,0,1,1
