,Class0,Class1,Class2,Class3,Class4
279,1,1,1,0,0
280,0,0,1,1,1
281,1,1,0,1,0
282,1,0,1,0,1
283,1,1,1,0,0
284,0,0,1,1,1
285,1,0,1,1,0
286,1,1,0,0,1
287,1,0,1,0,1
288,1,0,1,0,1
289,1,0,1,0,1
290,1,0,0,1,1
291,0,1,0,1,1
292,1,1,0,0,1
293,0,1,1,1,0
294,1,0,0,1,1
295,0,1,1,0,1
296,1,1,0,1,0
297,0,1,1,1,0
298,0,1,0,1,1
299,0,0,1,1,1
300,1,0,0,1,1
301,0,1,1,0,1
302,0,0,1,1,1
303,1,0,1,1,0
304,1,1,0,0,1
305,1,1,1,0,0
306,0,1,1,1,0
307,0,1,0,1,1
308,0,1,0,1,1
309,0,1,0,1,1
310,0,1,1,0,1
311,0,1,1,1,0
312,0,1,0,1,1
313,0,1,1,0,1
314,1,0,0,1,1
315,1,1,0,0,1
316,0,0,1,1,1
317,0,1,1,1,0
318,1,1,0,0,1
319,0,1,0,1,1
320,1,0,1,1,0
321,1,0,1,0,1
322,0,1,1,0,1
323,1,0,0,1,1
324,1,0,0,1,1
325,0,1,0,1,1
326,1,0,0,1,1
327,0,1,0,1,1
328,1,1,0,0,1
329,1,0,1,0,1
330,1,0,0,1,1
331,1,1,0,0,1
332,1,0,0,1,1
333,1,1,1,0,0
334,0,1,0,1,1
335,1,1,1,0,0
336,0,0,1,1,1
337,0,0,1,1,1
338,0,1,1,0,1
339,1,1,1,0,0
340,1,0,0,1,1
341,1,1,1,0,0
342,1,1,0,1,0
343,0,1,1,0,1
344,0,1,0,1,1
345,1,1,0,1,0
346,1,1,1,0,0
347,0,0,1,1,1
348,1,0,0,1,1
349,1,0,1,0,1
350,1,1,0,0,1
351,0,0,1,1,1
352,1,0,1,1,0
353,1,0,0,1,1
354,1,1,0,1,0
355,0,0,1,1,1
356,1,1,0,0,1
357,1,0,1,1,0
358,0,1,1,0,1
359,1,1,1,0,0
360,0,1,0,1,1
361,1,0,0,1,1
362,1,0,0,1,1
363,0,1,1,0,1
364,0,0,1,1,1
365,0,1,1,1,0
366,1,0,0,1,1
367,0,1,0,1,1
368,1,1,0,1,0
369,0,1,1,0,1
370,1,0,0,1,1
371,0,1,1,0,1
372,1,1,0,1,0
373,1,1,0,1,0
374,0,1,1,0,1
375,1,1,0,0,1
376,0,1,0,1,1
377,0,1,1,1,0
378,1,0,1,0,1
379,0,1,1,1,0
380,1,0,0,1,1
381,0,1,1,0,1
382,1,1,0,1,0
383,1,1,0,0,1
384,1,1,1,0,0
385,1,1,1,0,0
386,1,0,1,1,0
387,1,1,1,0,0
388,0,0,1,1,1
389,1,0,1,1,0
390,1,1,1,0,0
391,1,0,1,0,1
392,0,1,1,0,1
393,1,0,0,1,1
394,0,0,1,1,1
395,0,1,1,1,0
396,0,1,1,0,1
397,1,1,0,1,0
398,0,1,1,1,0
399,1,0,1,0,1
400,0,1,1,1,0
401,0,0,1,1,1
402,1,1,0,1,0
403,1,1,0,1,0
404,1,0,1,1,0
405,0,1,1,0,1
406,1,1,1,0,0
407,1,1,0,1,0
408,0,0,1,1,1
409,0,1,1,0,1
410,0,1,1,1,0
411,0,1,0,1,1
412,1,0,1,1,0
413,0,1,0,1,1
414,1,0,1,0,1
415,1,0,0,1,1
416,0,1,1,1,0
417,1,1,1,0,0
418,1,1,0,0,1
419,1,0,1,1,0
420,1,1,1,0,0
421,0,0,1,1,1
422,0,1,0,1,1
423,0,1,1,0,1
424,0,1,1,0,1
425,0,1,1,1,0
426,1,0,1,1,0
427,1,0,1,1,0
428,1,0,1,0,1
429,1,0,1,0,1
430,0,0,1,1,1
431,0,0,1,1,1
432,0,0,1,1,1
433,1,1,0,0,1
434,1,0,0,1,1
435,1,0,1,0,1
436,1,0,0,1,1
437,0,1,1,1,0
438,1,0,1,1,0
439,0,1,1,1,0
440,0,0,1,1,1
441,1,1,0,1,0
442,0,1,1,0,1
443,1,1,1,0,0
444,1,0,0,1,1
445,1,0,1,0,1
446,0,1,1,0,1
447,1,1,0,1,0
448,0,0,1,1,1
449,1,1,0,0,1
450,1,0,0,1,1
451,1,0,1,0,1
452,1,1,0,1,0
453,1,0,1,1,0
454,0,0,1,1,1
455,1,1,1,0,0
456,0,1,0,1,1
457,1,0,0,1,1
458,0,1,0,1,1
459,1,0,1,0,1
460,1,0,1,0,1
461,0,1,1,1,0
462,1,1,0,0,1
463,1,1,0,0,1
464,0,1,0,1,1
465,0,1,0,1,1
466,1,0,1,1,0
467,0,1,1,0,1
468,0,0,1,1,1
469,1,0,1,1,0
470,1,0,1,1,0
471,1,0,0,1,1
472,0,1,0,1,1
473,1,0,1,1,0
474,1,1,0,0,1
475,1,0,1,1,0
476,1,0,0,1,1
477,1,1,1,0,0
478,0,0,1,1,1
479,0,0,1,1,1
480,1,1,0,1,0
481,1,1,0,0,1
482,1,1,0,0,1
483,1,0,0,1,1
484,1,1,0,1,0
485,1,1,0,1,0
486,0,1,0,1,1
487,1,1,0,1,0
488,1,1,0,0,1
489,1,0,1,0,1
490,1,0,1,1,0
491,1,1,1,0,0
492,1,0,0,1,1
493,1,1,0,0,1
494,1,0,1,0,1
495,1,1,0,0,1
496,1,1,0,1,0
497,0,0,1,1,1
498,1,0,0,1,1
499,1,1,0,1,0
500,1,0,1,0,1
501,1,0,0,1,1
502,1,1,0,1,0
503,0,1,1,1,0
504,1,0,0,1,1
505,1,1,0,1,0
506,0,1,0,1,1
507,0,1,1,1,0
508,1,0,0,1,1
509,1,0,0,1,1
510,0,1,1,0,1
511,1,0,1,1,0
512,0,1,0,1,1
513,1,0,0,1,1
514,0,1,0,1,1
515,0,1,0,1,1
516,0,1,0,1,1
517,0,1,0,1,1
518,1,0,1,0,1
519,1,1,0,1,0
520,1,0,0,1,1
521,0,1,1,0,1
522,1,0,0,1,1
523,1,0,1,1,0
524,1,1,1,0,0
525,1,1,0,1,0
526,0,0,1,1,1
527,1,0,0,1,1
528,0,1,1,1,0
529,1,0,1,0,1
530,1,1,0,0,1
531,1,1,0,0,1
532,1,1,0,0,1
533,0,1,1,1,0
534,1,0,0,1,1
535,0,0,1,1,1
536,1,1,1,0,0
537,0,1,1,0,1
538,0,0,1,1,1
539,0,1,1,0,1
540,1,1,0,1,0
541,0,1,1,0,1
542,1,0,0,1,1
543,0,1,1,0,1
544,0,1,1,1,0
545,0,1,0,1,1
546,1,1,1,0,0
547,1,0,1,1,0
548,0,1,1,1,0
549,1,0,1,0,1
550,1,1,0,1,0
551,1,1,1,0,0
552,0,0,1,1,1
553,0,0,1,1,1
554,1,1,1,0,0
555,0,0,1,1,1
556,1,1,1,0,0
557,0,1,1,1,0
558,1,0,0,1,1
559,1,1,1,0,0
560,0,1,1,0,1
561,0,1,1,0,1
562,0,1,0,1,1
563,0,0,1,1,1
564,1,0,0,1,1
565,0,1,0,1,1
566,1,1,0,1,0
567,0,1,0,1,1
568,0,0,1,1,1
569,1,0,1,1,0
570,1,0,0,1,1
571,0,1,1,1,0
572,1,1,1,0,0
573,0,1,1,1,0
574,0,1,1,1,0
575,1,1,0,1,0
576,1,0,1,1,0
577,0,1,1,0,1
578,0,1,1,1,0
579,0,1,0,1,1
580,0,0,1,1,1
581,0,0,1,1,1
582,0,0,1,1,1
583,1,0,0,1,1
584,1,1,0,0,1
585,1,1,0,1,0
586,0,1,1,1,0
587,0,0,1,1,1
588,1,1,1,0,0
589,1,0,1,0,1
590,1,1,0,1,0
591,1,1,0,0,1
592,1,1,0,1,0
593,1,1,1,0,0
594,0,1,1,1,0
595,1,1,1,0,0
596,1,1,0,0,1
597,0,0,1,1,1
598,1,0,1,1,0
599,0,1,1,0,1
600,0,1,1,1,0
601,0,1,0,1,1
602,0,1,0,1,1
603,1,0,1,0,1
604,0,1,1,0,1
605,0,1,1,0,1
606,1,0,0,1,1
607,1,0,1,0,1
608,1,1,1,0,0
609,1,0,1,0,1
610,0,1,0,1,1
611,1,0,1,1,0
612,1,0,1,1,0
613,0,1,1,1,0
614,0,1,1,1,0
615,1,1,1,0,0
616,0,1,1,1,0
617,1,0,1,1,0
618,1,0,1,0,1
619,0,1,1,0,1
620,0,1,1,0,1
621,0,1,1,0,1
622,1,1,1,0,0
623,1,1,1,0,0
624,1,0,0,1,1
625,0,1,1,0,1
626,1,1,0,1,0
627,1,0,1,1,0
628,1,1,0,0,1
629,0,0,1,1,1
630,0,0,1,1,1
631,1,0,0,1,1
632,1,1,0,0,1
633,0,1,0,1,1
634,0,1,1,0,1
635,1,0,1,1,0
636,0,1,1,0,1
637,1,0,1,1,0
638,0,1,1,0,1
639,1,1,0,0,1
640,1,1,0,1,0
641,1,1,1,0,0
642,1,0,1,0,1
643,1,0,1,0,1
644,1,1,0,0,1
645,1,1,0,1,0
646,1,1,1,0,0
647,1,1,0,1,0
648,0,1,1,1,0
649,0,1,1,1,0
650,1,0,1,1,0
651,0,0,1,1,1
652,0,0,1,1,1
653,0,1,0,1,1
654,0,1,1,1,0
655,1,1,1,0,0
656,1,1,0,0,1
657,0,1,0,1,1
658,0,1,0,1,1
659,1,0,1,0,1
660,0,0,1,1,1
661,1,1,0,1,0
662,1,0,1,0,1
663,0,1,0,1,1
664,1,0,1,0,1
665,1,0,1,1,0
666,0,1,1,1,0
667,1,0,1,1,0
668,1,1,0,0,1
669,0,1,1,0,1
670,0,1,1,1,0
671,0,1,0,1,1
672,1,1,0,1,0
673,0,0,1,1,1
674,0,1,1,0,1
675,1,0,1,1,0
676,0,1,0,1,1
677,1,1,1,0,0
678,1,1,0,0,1
679,1,0,1,0,1
680,1,1,0,0,1
681,0,1,1,0,1
682,0,1,1,1,0
683,0,1,0,1,1
684,1,0,1,1,0
685,1,0,1,0,1
686,1,1,0,1,0
687,1,1,1,0,0
688,0,1,1,1,0
689,0,1,1,0,1
690,1,1,0,0,1
691,1,0,1,0,1
692,1,0,0,1,1
693,1,1,1,0,0
694,0,0,1,1,1
695,1,0,1,0,1
696,1,1,0,0,1
697,0,1,1,0,1
698,0,0,1,1,1
699,1,1,0,1,0
700,0,1,1,0,1
701,0,1,1,1,0
702,0,1,0,1,1
703,1,0,0,1,1
704,1,0,1,1,0
705,0,1,1,0,1
706,1,0,1,0,1
707,1,1,0,1,0
708,1,1,0,0,1
709,0,1,1,0,1
710,1,1,1,0,0
711,0,1,1,1,0
712,0,1,1,0,1
713,1,0,0,1,1
714,0,1,1,1,0
715,1,1,0,0,1
716,0,1,0,1,1
717,0,1,1,1,0
718,0,1,0,1,1
719,1,1,0,0,1
720,0,1,1,0,1
721,1,1,1,0,0
722,0,1,1,0,1
723,0,1,1,1,0
724,0,1,1,1,0
725,0,1,1,0,1
726,1,1,1,0,0
727,0,1,0,1,1
728,1,1,1,0,0
729,0,1,1,0,1
730,0,1,0,1,1
731,1,1,0,1,0
732,0,0,1,1,1
733,1,0,1,0,1
734,0,1,0,1,1
735,1,0,0,1,1
736,0,0,1,1,1
737,0,0,1,1,1
738,1,0,0,1,1
739,0,0,1,1,1
740,0,0,1,1,1
741,1,1,0,1,0
742,1,1,1,0,0
743,1,0,1,1,0
744,1,1,1,0,0
745,1,0,1,1,0
746,1,1,0,1,0
747,1,1,0,1,0
748,0,1,1,0,1
749,0,0,1,1,1
750,0,1,1,0,1
751,1,0,0,1,1
752,0,1,1,1,0
753,1,0,1,1,0
754,1,0,1,0,1
755,0,1,1,0,1
756,1,1,0,0,1
757,0,0,1,1,1
758,0,0,1,1,1
759,1,1,0,1,0
760,0,1,1,1,0
761,1,0,1,1,0
762,0,0,1,1,1
763,1,0,0,1,1
764,1,0,1,1,0
765,1,0,1,0,1
766,1,0,1,1,0
767,0,1,1,0,1
768,0,0,1,1,1
769,0,1,0,1,1
770,1,0,1,1,0
771,1,1,0,1,0
772,1,1,0,0,1
773,1,1,1,0,0
774,1,0,0,1,1
775,1,1,1,0,0
776,1,0,1,0,1
777,0,1,1,0,1
778,0,0,1,1,1
779,0,1,0,1,1
780,1,0,1,0,1
781,1,1,0,0,1
782,1,1,1,0,0
783,1,0,1,0,1
784,1,0,1,0,1
785,1,0,0,1,1
786,1,0,1,1,0
787,1,0,0,1,1
788,1,0,0,1,1
789,0,0,1,1,1
790,0,1,1,1,0
791,0,1,0,1,1
792,1,1,1,0,0
793,1,1,1,0,0
794,0,1,1,0,1
795,1,1,1,0,0
796,0,1,0,1,1
797,1,1,1,0,0
798,0,1,1,0,1
799,1,1,0,0,1
