,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Athlete,Chorus
148,Chemistry,Machine Learning,History,Astro Engineering,Spanish,Biology,0,0
149,Social Science,History,Business,Optimization,Biology,Astro Engineering,0,0
150,History,Aero Engineering,Spanish,Machine Learning,French,Physics,0,0
151,French,Algebra,Political Science,Astro Engineering,Machine Learning,Aero Engineering,0,0
152,Physics,Social Science,Optimization,Astro Engineering,Chorus1,Chorus2,0,1
153,History,Aero Engineering,English,Political Science,Chinese,Chemistry,0,0
154,French,Optimization,Spanish,Machine Learning,History,Social Science,0,0
155,Business,Aero Engineering,Machine Learning,Social Science,Chorus1,Chorus2,0,1
156,Business,Optimization,Spanish,Astro Engineering,Political Science,Algebra,0,0
157,Political Science,Business,Aero Engineering,French,Chorus1,Chorus2,0,1
158,Chinese,Social Science,History,Algebra,French,Astro Engineering,0,0
159,Chinese,Machine Learning,English,Optimization,History,Spanish,1,0
160,Social Science,Optimization,Astro Engineering,Chinese,Spanish,Machine Learning,0,0
161,French,History,Social Science,Algebra,Chorus1,Chorus2,0,1
162,Chinese,Political Science,Social Science,Business,Chemistry,Aero Engineering,0,0
163,Algebra,English,Spanish,Machine Learning,Aero Engineering,History,0,0
164,Astro Engineering,Machine Learning,Political Science,Chemistry,Business,Optimization,0,0
165,Optimization,Astro Engineering,Spanish,History,Algebra,Aero Engineering,0,0
166,Astro Engineering,Optimization,Algebra,Physics,History,English,0,0
167,French,Optimization,English,Business,Machine Learning,Social Science,0,0
168,Optimization,Astro Engineering,Chinese,Aero Engineering,Chorus1,Chorus2,0,1
169,Spanish,Machine Learning,Aero Engineering,English,Chorus1,Chorus2,0,1
170,Social Science,Machine Learning,Chemistry,Political Science,Optimization,English,0,0
171,Aero Engineering,Physics,Chemistry,French,Business,Political Science,1,0
172,Optimization,Biology,French,Business,Algebra,Astro Engineering,0,0
173,French,Physics,Business,Biology,History,English,1,0
174,Biology,Political Science,Chemistry,Optimization,Machine Learning,Astro Engineering,0,0
175,Aero Engineering,Spanish,Biology,Physics,Social Science,Business,0,0
176,Political Science,Chemistry,Aero Engineering,Spanish,History,Physics,0,0
177,Chemistry,French,Political Science,Biology,Astro Engineering,Physics,1,0
178,History,Aero Engineering,Spanish,Social Science,French,Chinese,1,0
179,Spanish,French,Physics,Chemistry,Chorus1,Chorus2,0,1
180,French,Spanish,Political Science,History,Chorus1,Chorus2,0,1
181,English,Machine Learning,Algebra,Chemistry,Social Science,Spanish,0,0
182,Biology,Social Science,English,Algebra,Business,History,0,0
183,Biology,Physics,History,English,French,Aero Engineering,1,0
184,Chinese,Political Science,Physics,Business,Biology,Aero Engineering,1,0
185,English,Political Science,Chinese,Aero Engineering,Machine Learning,Physics,1,0
186,Aero Engineering,English,Biology,Optimization,Algebra,Astro Engineering,0,0
187,French,English,Optimization,Business,Biology,Physics,1,0
188,Political Science,Optimization,History,English,Chorus1,Chorus2,0,1
189,Chemistry,Social Science,Aero Engineering,Optimization,Biology,Political Science,0,0
190,Aero Engineering,Chemistry,English,Political Science,Biology,Physics,0,0
191,Algebra,Political Science,English,Chinese,Business,Social Science,1,0
192,Algebra,Spanish,Political Science,Optimization,Astro Engineering,Chinese,1,0
193,Spanish,Algebra,Social Science,Political Science,Optimization,French,1,0
194,Business,Physics,Chinese,Machine Learning,Chorus1,Chorus2,0,1
195,Physics,Algebra,Chinese,Optimization,Spanish,Social Science,1,0
196,French,Aero Engineering,Social Science,Chinese,Chorus1,Chorus2,0,1
197,Astro Engineering,Spanish,French,Chemistry,Chinese,Political Science,0,0
198,Business,Aero Engineering,French,Chemistry,Social Science,Chinese,1,0
199,English,History,French,Social Science,Aero Engineering,Biology,1,0
200,Optimization,Biology,Aero Engineering,Physics,Spanish,Chemistry,0,0
201,English,Astro Engineering,Optimization,Aero Engineering,History,Political Science,0,0
202,History,Biology,Social Science,Astro Engineering,Chorus1,Chorus2,0,1
203,Chemistry,Social Science,English,Chinese,History,Spanish,0,0
204,Biology,Spanish,Chemistry,Astro Engineering,Chorus1,Chorus2,0,1
205,Optimization,Algebra,Social Science,Machine Learning,Chorus1,Chorus2,0,1
206,Optimization,Political Science,English,Machine Learning,Business,Chemistry,0,0
207,Algebra,English,Chinese,Social Science,History,Spanish,0,0
208,Physics,Optimization,English,Social Science,Machine Learning,Algebra,0,0
209,English,Business,Astro Engineering,French,Chemistry,Optimization,0,0
210,French,Physics,Political Science,Optimization,English,Astro Engineering,0,0
211,English,Astro Engineering,Aero Engineering,Biology,Algebra,Chinese,1,0
212,Aero Engineering,Business,Biology,Physics,Chorus1,Chorus2,0,1
213,Spanish,Aero Engineering,History,Chemistry,French,Optimization,0,0
214,Chinese,Chemistry,Social Science,Spanish,Machine Learning,History,0,0
215,Business,English,Chinese,Optimization,Physics,Biology,0,0
216,Chemistry,Algebra,Optimization,Social Science,Spanish,Chinese,0,0
217,Biology,English,Chemistry,Algebra,Chorus1,Chorus2,0,1
218,French,Optimization,Chinese,History,Business,Spanish,1,0
219,English,French,Political Science,Astro Engineering,Chinese,Social Science,1,0
220,Social Science,English,Chemistry,Biology,History,Aero Engineering,1,0
221,Physics,English,French,Optimization,Chemistry,Chinese,1,0
222,Spanish,Social Science,Chemistry,History,Political Science,Machine Learning,0,0
223,French,History,Machine Learning,Chinese,Optimization,Algebra,1,0
224,Chinese,Spanish,French,Algebra,Chorus1,Chorus2,0,1
225,Aero Engineering,Spanish,Astro Engineering,Business,Political Science,Social Science,0,0
226,Algebra,History,Optimization,Machine Learning,Physics,Political Science,0,0
227,Social Science,History,English,Chemistry,Business,Biology,0,0
228,Astro Engineering,English,Biology,Business,Chemistry,Physics,1,0
229,Biology,Optimization,English,Social Science,Political Science,Chemistry,1,0
230,French,Business,Optimization,Astro Engineering,Social Science,Biology,0,0
231,English,Chemistry,Political Science,History,Algebra,Machine Learning,1,0
232,Optimization,Spanish,History,Biology,Chorus1,Chorus2,0,1
233,Astro Engineering,Machine Learning,History,Chinese,Chorus1,Chorus2,0,1
234,Chinese,English,Biology,Spanish,Chorus1,Chorus2,0,1
235,Physics,Chemistry,Optimization,Business,Machine Learning,Algebra,0,0
236,History,Political Science,Aero Engineering,Chemistry,Chorus1,Chorus2,0,1
237,Astro Engineering,Social Science,English,Political Science,Chemistry,Algebra,1,0
238,Physics,Business,Optimization,Algebra,Chorus1,Chorus2,0,1
239,Aero Engineering,Biology,History,Astro Engineering,Optimization,English,0,0
240,French,History,Spanish,Aero Engineering,Social Science,Optimization,1,0
241,Machine Learning,Biology,French,Chinese,Business,Algebra,1,0
242,Spanish,Social Science,Astro Engineering,Optimization,Chinese,Chemistry,1,0
243,Aero Engineering,Machine Learning,Spanish,Business,History,Astro Engineering,1,0
244,Optimization,Astro Engineering,Chinese,Spanish,Chorus1,Chorus2,0,1
245,English,History,Political Science,Astro Engineering,Chorus1,Chorus2,0,1
246,Aero Engineering,Spanish,English,Political Science,Chorus1,Chorus2,0,1
247,Optimization,Machine Learning,Spanish,History,Biology,Social Science,1,0
248,Chemistry,Aero Engineering,Biology,Spanish,Optimization,Machine Learning,0,0
249,Physics,Business,History,Chemistry,Aero Engineering,Biology,1,0
250,Aero Engineering,English,Optimization,Chinese,Spanish,Political Science,0,0
251,Social Science,Chinese,Business,History,Algebra,Optimization,0,0
252,English,Astro Engineering,Biology,Political Science,Chorus1,Chorus2,0,1
253,Optimization,Spanish,Machine Learning,Aero Engineering,French,Algebra,0,0
254,Machine Learning,Optimization,French,History,Aero Engineering,Social Science,0,0
255,English,Biology,Optimization,Spanish,Chorus1,Chorus2,0,1
256,Biology,History,Physics,Machine Learning,Chinese,Algebra,1,0
257,Business,Machine Learning,Chinese,Algebra,Physics,Optimization,1,0
258,Machine Learning,French,Social Science,Business,Chorus1,Chorus2,0,1
259,Spanish,Biology,History,Political Science,Chinese,Physics,0,0
260,Aero Engineering,English,Political Science,Biology,Chorus1,Chorus2,0,1
261,Business,Physics,Social Science,French,Chorus1,Chorus2,0,1
262,Optimization,Business,Aero Engineering,Social Science,Algebra,French,1,0
263,French,Political Science,English,Social Science,Optimization,Biology,0,0
264,French,Aero Engineering,Biology,English,Chinese,Physics,1,0
265,Optimization,Astro Engineering,Biology,Chinese,Chorus1,Chorus2,0,1
266,Algebra,Social Science,Business,Chemistry,Machine Learning,French,0,0
267,Social Science,History,Chemistry,Aero Engineering,Astro Engineering,Algebra,1,0
268,Social Science,Aero Engineering,Spanish,French,History,Political Science,1,0
269,Astro Engineering,Social Science,Political Science,Chinese,Business,English,0,0
270,English,Social Science,Spanish,Chinese,French,Astro Engineering,0,0
271,Optimization,Algebra,Political Science,Social Science,Chorus1,Chorus2,0,1
272,Spanish,Machine Learning,Physics,History,Chorus1,Chorus2,0,1
273,Social Science,Optimization,Machine Learning,Physics,Astro Engineering,History,0,0
274,Social Science,English,Spanish,Astro Engineering,Aero Engineering,Machine Learning,0,0
275,Chemistry,Chinese,Optimization,Physics,Social Science,Biology,0,0
276,Biology,Chinese,History,Astro Engineering,Aero Engineering,English,0,0
277,Algebra,Machine Learning,Spanish,Optimization,Biology,Physics,0,0
278,Chinese,Spanish,French,Physics,Biology,Machine Learning,0,0
279,Chemistry,Chinese,Algebra,Astro Engineering,Chorus1,Chorus2,0,1
280,Political Science,French,Chemistry,History,Optimization,English,0,0
281,Aero Engineering,Astro Engineering,English,Business,Chorus1,Chorus2,0,1
282,English,Biology,Algebra,Social Science,Chemistry,Optimization,0,0
283,Astro Engineering,Physics,Biology,Chemistry,English,Business,1,0
284,Optimization,English,Chinese,Algebra,Machine Learning,Business,0,0
285,Machine Learning,History,Biology,Physics,Optimization,Chemistry,0,0
286,Spanish,English,Physics,Astro Engineering,Biology,Social Science,0,0
287,Physics,Optimization,Business,Political Science,Chorus1,Chorus2,0,1
288,Astro Engineering,Physics,Chemistry,Political Science,French,Aero Engineering,1,0
289,Chinese,Biology,Physics,Astro Engineering,Chorus1,Chorus2,0,1
290,Aero Engineering,Machine Learning,Biology,Political Science,English,Spanish,0,0
291,Social Science,Spanish,History,Aero Engineering,Political Science,Algebra,1,0
292,Political Science,Algebra,Social Science,Biology,English,History,0,0
293,Political Science,History,Chinese,Spanish,French,English,1,0
294,Biology,Spanish,Algebra,History,Machine Learning,Chemistry,0,0
295,Spanish,Optimization,Machine Learning,Algebra,History,Political Science,0,0
296,Business,Biology,Algebra,Machine Learning,Aero Engineering,French,1,0
297,Biology,History,Chemistry,Physics,Spanish,Astro Engineering,0,0
298,Business,Political Science,Chinese,Machine Learning,English,Aero Engineering,0,0
299,French,English,Political Science,History,Machine Learning,Biology,0,0
300,English,Biology,History,Physics,Astro Engineering,Optimization,0,0
301,Astro Engineering,Spanish,Optimization,Political Science,Chinese,Business,0,0
302,Chinese,Astro Engineering,History,Political Science,Machine Learning,Physics,1,0
303,Social Science,Aero Engineering,Business,Optimization,History,Political Science,0,0
304,Spanish,Astro Engineering,French,Aero Engineering,Chinese,Chemistry,0,0
305,Chemistry,History,Aero Engineering,Chinese,Spanish,Astro Engineering,1,0
306,Physics,Machine Learning,Astro Engineering,Optimization,Algebra,French,0,0
307,French,Social Science,Machine Learning,Spanish,Physics,Biology,0,0
308,Chinese,Biology,Algebra,Political Science,History,Spanish,1,0
309,Spanish,Astro Engineering,English,Social Science,Biology,Chemistry,1,0
310,English,Biology,French,Chemistry,Optimization,Algebra,1,0
311,Chemistry,Algebra,History,English,Physics,Machine Learning,1,0
312,French,Physics,Aero Engineering,Optimization,Chorus1,Chorus2,0,1
313,Astro Engineering,English,Political Science,History,Biology,Chinese,0,0
314,Chemistry,Spanish,English,History,Business,Social Science,0,0
315,Optimization,Business,Astro Engineering,History,Aero Engineering,Chemistry,0,0
316,French,Aero Engineering,Social Science,Algebra,History,Biology,1,0
317,Social Science,Algebra,History,Chemistry,Chorus1,Chorus2,0,1
318,Astro Engineering,Business,Biology,English,French,History,0,0
319,Optimization,Aero Engineering,History,Political Science,Chorus1,Chorus2,0,1
320,Spanish,English,Chemistry,Machine Learning,Chinese,Physics,0,0
321,History,Optimization,Astro Engineering,Spanish,English,Political Science,1,0
322,History,Aero Engineering,Biology,Optimization,Social Science,French,1,0
323,Chinese,Spanish,Algebra,French,Biology,English,1,0
324,History,Aero Engineering,Chemistry,Social Science,English,Spanish,0,0
325,English,Political Science,Chemistry,French,Spanish,Chinese,0,0
326,Astro Engineering,Aero Engineering,Chinese,English,Social Science,Machine Learning,1,0
327,History,Chemistry,Political Science,French,Social Science,Optimization,0,0
328,Business,Biology,History,Algebra,Spanish,Astro Engineering,0,0
329,English,Chemistry,Chinese,Business,Machine Learning,Aero Engineering,0,0
330,Social Science,History,Optimization,Chemistry,Chorus1,Chorus2,0,1
331,Machine Learning,Optimization,Chemistry,Spanish,History,Physics,0,0
332,Chinese,French,Business,Aero Engineering,Algebra,English,0,0
333,Spanish,French,Biology,Chinese,Chorus1,Chorus2,0,1
334,Physics,English,Social Science,Biology,Business,French,0,0
335,French,Social Science,Political Science,Physics,Machine Learning,Biology,0,0
336,History,Astro Engineering,Algebra,French,Machine Learning,Optimization,1,0
337,Chemistry,Political Science,English,Machine Learning,Algebra,Spanish,0,0
338,Optimization,Machine Learning,Chinese,History,Chorus1,Chorus2,0,1
339,Chinese,Political Science,French,Spanish,Astro Engineering,History,0,0
340,Business,Spanish,English,French,Chorus1,Chorus2,0,1
341,Algebra,Social Science,Optimization,Physics,French,English,0,0
342,Social Science,Chinese,Spanish,Biology,Aero Engineering,Machine Learning,0,0
343,Physics,Algebra,French,Astro Engineering,Spanish,English,0,0
344,Chinese,Aero Engineering,Physics,Chemistry,Political Science,Algebra,0,0
345,Chinese,Machine Learning,Optimization,Aero Engineering,Chorus1,Chorus2,0,1
346,Physics,Political Science,Social Science,Chemistry,Astro Engineering,French,0,0
347,Physics,Social Science,Chinese,Optimization,Chorus1,Chorus2,0,1
348,Optimization,Physics,Business,Chemistry,History,Astro Engineering,1,0
349,Physics,Biology,English,Business,Social Science,History,0,0
350,Spanish,Social Science,French,Biology,Algebra,Chemistry,0,0
351,Algebra,Astro Engineering,French,Optimization,Chinese,Machine Learning,0,0
352,Optimization,Spanish,Biology,History,Political Science,Aero Engineering,0,0
353,Business,Astro Engineering,French,Optimization,Algebra,English,0,0
354,Machine Learning,Chemistry,English,Social Science,Chorus1,Chorus2,0,1
355,Algebra,Biology,French,Chinese,Chemistry,History,1,0
356,Chinese,History,Algebra,Aero Engineering,Biology,Political Science,1,0
357,Algebra,Machine Learning,Physics,Spanish,Chinese,Aero Engineering,0,0
358,Chemistry,Political Science,Astro Engineering,Algebra,Machine Learning,Social Science,0,0
359,Spanish,Political Science,Algebra,Social Science,Chorus1,Chorus2,0,1
360,Business,Chinese,Astro Engineering,Biology,Spanish,Political Science,0,0
361,Political Science,Algebra,Optimization,French,Biology,Physics,0,0
362,Optimization,French,Spanish,Political Science,Aero Engineering,Physics,0,0
363,Social Science,Political Science,Chemistry,Biology,Spanish,History,0,0
364,Machine Learning,Social Science,English,French,Spanish,Physics,1,0
365,Aero Engineering,Astro Engineering,Algebra,History,Spanish,Optimization,0,0
366,Biology,Algebra,French,Social Science,Physics,History,0,0
367,Physics,Biology,Political Science,Business,Chemistry,English,1,0
368,Spanish,Machine Learning,Optimization,Algebra,Business,Biology,0,0
369,Algebra,Chemistry,Biology,Spanish,French,Business,0,0
370,Aero Engineering,Optimization,Chinese,Business,Algebra,English,0,0
371,Chinese,French,Machine Learning,Optimization,English,Biology,0,0
372,Astro Engineering,Chemistry,English,Algebra,History,Machine Learning,0,0
373,French,Business,Chemistry,Physics,Astro Engineering,History,0,0
374,Aero Engineering,History,English,Chinese,Chemistry,Astro Engineering,0,0
375,Machine Learning,Aero Engineering,Chinese,Algebra,Chorus1,Chorus2,0,1
376,History,English,Optimization,Aero Engineering,Chinese,Business,0,0
377,Optimization,Physics,English,Political Science,Social Science,Spanish,0,0
378,Aero Engineering,Biology,Social Science,History,Business,Spanish,0,0
379,Business,French,Aero Engineering,Physics,Chemistry,Political Science,0,0
380,English,Chemistry,Machine Learning,Biology,Astro Engineering,Business,0,0
381,Political Science,Machine Learning,History,Aero Engineering,Chorus1,Chorus2,0,1
382,History,Aero Engineering,Machine Learning,Business,French,Chemistry,0,0
383,Spanish,Political Science,Astro Engineering,Optimization,Social Science,Physics,1,0
384,Aero Engineering,Chemistry,Machine Learning,Physics,Chinese,Algebra,1,0
385,Social Science,Algebra,French,Astro Engineering,Chorus1,Chorus2,0,1
386,Biology,Optimization,Political Science,English,Chemistry,Aero Engineering,1,0
387,Spanish,Physics,Political Science,Business,Chemistry,History,0,0
388,Physics,English,Chinese,Chemistry,Social Science,French,1,0
389,Physics,Biology,Spanish,History,Social Science,Astro Engineering,0,0
390,Machine Learning,Social Science,Physics,Aero Engineering,Astro Engineering,English,0,0
391,Algebra,History,Chinese,Social Science,Political Science,English,0,0
392,Algebra,Chemistry,Physics,English,Chorus1,Chorus2,0,1
393,English,Astro Engineering,French,Machine Learning,Algebra,Physics,1,0
394,English,Chinese,Business,Machine Learning,Aero Engineering,Political Science,1,0
395,Chemistry,Aero Engineering,French,Spanish,Chorus1,Chorus2,0,1
