,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Athlete,Chorus
39,Chemistry,Spanish,Astro Engineering,Political Science,Machine Learning,Algebra,0,0
40,Chemistry,Optimization,Chinese,Algebra,Astro Engineering,Social Science,0,0
41,French,Political Science,Business,Astro Engineering,Social Science,Machine Learning,1,0
42,Business,Spanish,Biology,Physics,French,English,1,0
43,Business,Astro Engineering,Machine Learning,Aero Engineering,Physics,Optimization,0,0
44,Algebra,Physics,English,Political Science,Astro Engineering,Machine Learning,0,0
45,Business,Optimization,Spanish,Chinese,Political Science,Biology,0,0
46,French,Social Science,Spanish,Physics,Chorus1,Chorus2,0,1
47,English,Social Science,Chinese,Biology,History,Physics,0,0
48,Political Science,Chinese,Machine Learning,Algebra,French,Business,1,0
49,Chinese,Physics,French,History,Astro Engineering,Political Science,0,0
50,Chemistry,Astro Engineering,Biology,Chinese,Chorus1,Chorus2,0,1
51,Social Science,Chinese,Machine Learning,Optimization,History,Chemistry,1,0
52,Astro Engineering,French,English,Optimization,Biology,Chemistry,0,0
53,Business,Political Science,Spanish,History,Machine Learning,Chinese,1,0
54,Physics,Chemistry,Optimization,Political Science,Business,Astro Engineering,1,0
55,Aero Engineering,Astro Engineering,French,History,Optimization,Algebra,0,0
56,Algebra,Biology,Chinese,Physics,History,Social Science,0,0
57,French,Astro Engineering,English,History,Aero Engineering,Chemistry,1,0
58,Business,Physics,English,Biology,Political Science,Social Science,0,0
59,Biology,Political Science,Chinese,Aero Engineering,Chorus1,Chorus2,0,1
60,Social Science,Astro Engineering,Aero Engineering,Optimization,History,Physics,0,0
61,Chinese,English,Optimization,Chemistry,Physics,Biology,1,0
62,Astro Engineering,Social Science,Machine Learning,Spanish,Chinese,Optimization,0,0
63,Biology,Social Science,Optimization,Political Science,Astro Engineering,English,1,0
64,Chinese,Aero Engineering,Physics,Spanish,Algebra,Machine Learning,0,0
65,Chemistry,Algebra,French,Political Science,Chorus1,Chorus2,0,1
66,Optimization,Political Science,Spanish,Machine Learning,English,Business,0,0
67,English,Business,Chinese,Biology,Chorus1,Chorus2,0,1
68,History,Astro Engineering,Business,Social Science,Algebra,Physics,1,0
69,Aero Engineering,Machine Learning,English,Social Science,Chorus1,Chorus2,0,1
70,Optimization,Physics,Algebra,English,Political Science,Social Science,0,0
71,Physics,Chemistry,French,Chinese,Social Science,Spanish,1,0
72,Biology,Machine Learning,French,Spanish,Optimization,Physics,0,0
73,Business,Algebra,Astro Engineering,Social Science,Machine Learning,Spanish,0,0
74,Physics,Biology,History,Spanish,Chinese,English,1,0
75,Spanish,Business,English,Chemistry,Optimization,Social Science,1,0
76,Aero Engineering,French,Chemistry,Chinese,Chorus1,Chorus2,0,1
77,Social Science,Chemistry,Aero Engineering,French,Chorus1,Chorus2,0,1
78,Machine Learning,Political Science,Chemistry,Biology,English,French,1,0
79,Physics,Spanish,Social Science,Machine Learning,English,Chinese,1,0
80,Algebra,Aero Engineering,Social Science,Chinese,Machine Learning,History,0,0
81,History,English,Chinese,Biology,Machine Learning,French,0,0
82,English,Astro Engineering,Algebra,History,Biology,Aero Engineering,0,0
83,Business,Machine Learning,History,English,Astro Engineering,Chinese,1,0
84,Astro Engineering,Social Science,Physics,French,Political Science,English,0,0
85,Aero Engineering,Spanish,Biology,Optimization,History,Machine Learning,0,0
86,Social Science,Machine Learning,Astro Engineering,Chinese,Business,English,0,0
87,History,English,Spanish,Physics,Biology,Aero Engineering,0,0
88,Optimization,Chemistry,Political Science,English,Chorus1,Chorus2,0,1
89,Spanish,Business,Biology,History,Optimization,Astro Engineering,0,0
90,Business,Political Science,Optimization,Biology,Astro Engineering,Aero Engineering,0,0
91,Optimization,Chinese,Biology,Aero Engineering,Chorus1,Chorus2,0,1
92,Physics,History,Biology,Machine Learning,Chorus1,Chorus2,0,1
93,Chinese,Political Science,History,Social Science,Biology,Business,1,0
94,Astro Engineering,Spanish,Political Science,Chinese,Aero Engineering,French,0,0
95,Spanish,Physics,French,Chinese,Algebra,Chemistry,0,0
96,Chinese,Spanish,French,Biology,Business,Chemistry,1,0
97,Aero Engineering,French,Chinese,Chemistry,English,Political Science,0,0
98,Spanish,Astro Engineering,Aero Engineering,English,Algebra,Business,0,0
99,Machine Learning,Aero Engineering,Business,Social Science,Biology,Political Science,0,0
100,Biology,Astro Engineering,Optimization,Physics,Chorus1,Chorus2,0,1
101,History,Aero Engineering,Biology,Chemistry,Machine Learning,Astro Engineering,1,0
102,Astro Engineering,Machine Learning,Business,Chinese,French,Aero Engineering,0,0
103,Chinese,Astro Engineering,Machine Learning,Optimization,History,Aero Engineering,0,0
104,Optimization,Political Science,Astro Engineering,French,Aero Engineering,Machine Learning,0,0
105,French,Political Science,Spanish,Aero Engineering,History,Chinese,0,0
106,Social Science,Spanish,Political Science,Astro Engineering,Algebra,Chemistry,0,0
107,Optimization,Astro Engineering,Physics,Chinese,Algebra,Business,1,0
108,Spanish,Business,Algebra,English,Aero Engineering,Biology,1,0
109,Chinese,Machine Learning,Optimization,Physics,Political Science,French,0,0
110,Optimization,Chinese,Biology,English,Physics,Astro Engineering,0,0
111,French,Biology,History,Spanish,Chemistry,Aero Engineering,0,0
112,Aero Engineering,Social Science,English,Optimization,Chorus1,Chorus2,0,1
113,Chemistry,Aero Engineering,Political Science,Chinese,Chorus1,Chorus2,0,1
114,Chemistry,French,Machine Learning,Spanish,Chorus1,Chorus2,0,1
115,Aero Engineering,French,Political Science,Spanish,History,Machine Learning,0,0
116,Algebra,History,Business,Spanish,Political Science,Physics,0,0
117,Business,History,Astro Engineering,Chinese,Physics,Spanish,0,0
118,Astro Engineering,History,Physics,Social Science,Aero Engineering,Spanish,0,0
119,Astro Engineering,Spanish,Chinese,Biology,Social Science,Algebra,0,0
120,History,Physics,Biology,Aero Engineering,Chorus1,Chorus2,0,1
121,Machine Learning,Social Science,History,Algebra,Business,Optimization,0,0
122,Chinese,Optimization,Social Science,Business,Algebra,Political Science,0,0
123,Business,Social Science,Aero Engineering,Algebra,Chorus1,Chorus2,0,1
124,Spanish,Optimization,Astro Engineering,History,Chorus1,Chorus2,0,1
125,English,Chinese,French,Optimization,Algebra,Political Science,0,0
126,History,Astro Engineering,Social Science,Spanish,Physics,Algebra,1,0
127,Algebra,English,Chinese,Business,Physics,Biology,1,0
128,Aero Engineering,History,English,Social Science,Chinese,Biology,0,0
129,Physics,French,Social Science,Algebra,History,Machine Learning,0,0
130,Machine Learning,Chemistry,Social Science,Optimization,Business,Political Science,1,0
131,Machine Learning,Social Science,Optimization,English,Political Science,Business,0,0
132,French,Aero Engineering,Biology,Business,Optimization,Physics,1,0
133,Social Science,Spanish,Political Science,Machine Learning,Physics,Chinese,1,0
134,Algebra,English,Chinese,Optimization,Business,French,0,0
135,Algebra,Biology,Machine Learning,Astro Engineering,Social Science,History,0,0
136,Chemistry,Optimization,Chinese,Algebra,Social Science,History,0,0
137,Chinese,Chemistry,Biology,Astro Engineering,Chorus1,Chorus2,0,1
138,History,Business,Political Science,Social Science,Chorus1,Chorus2,0,1
139,Algebra,Chemistry,Political Science,Social Science,Optimization,Biology,0,0
140,Physics,Algebra,Optimization,Astro Engineering,Spanish,Chinese,0,0
141,Chinese,Business,Spanish,Machine Learning,English,Chemistry,1,0
142,Social Science,Machine Learning,Physics,History,Optimization,Spanish,0,0
143,Social Science,Astro Engineering,Chemistry,Business,Chorus1,Chorus2,0,1
144,Chemistry,Machine Learning,Business,Spanish,Astro Engineering,Optimization,0,0
145,Social Science,Chemistry,Optimization,History,Political Science,Aero Engineering,0,0
146,Business,Chemistry,History,Chinese,Spanish,Algebra,0,0
147,French,Spanish,History,Political Science,Social Science,Biology,1,0
148,Spanish,Machine Learning,Algebra,Aero Engineering,English,Chinese,0,0
149,Aero Engineering,Spanish,Biology,Social Science,Physics,Political Science,0,0
150,Astro Engineering,Political Science,History,Spanish,Optimization,Aero Engineering,0,0
151,Physics,History,Social Science,Chemistry,Political Science,English,0,0
152,Optimization,Physics,Business,Astro Engineering,French,Machine Learning,1,0
153,History,Algebra,Business,English,Chorus1,Chorus2,0,1
154,Chinese,Social Science,History,Astro Engineering,French,Algebra,0,0
155,Astro Engineering,Optimization,Biology,Aero Engineering,Chemistry,Chinese,1,0
156,Chemistry,Social Science,Spanish,Business,Algebra,Optimization,0,0
157,Physics,English,French,Social Science,Aero Engineering,Spanish,1,0
158,Spanish,English,Social Science,Chemistry,Biology,Physics,0,0
159,French,Political Science,Business,History,Social Science,English,1,0
160,English,Chemistry,French,Algebra,Machine Learning,Aero Engineering,0,0
161,Biology,French,Business,English,Astro Engineering,History,0,0
162,Astro Engineering,Business,History,Machine Learning,Chorus1,Chorus2,0,1
163,English,Spanish,Astro Engineering,Algebra,Political Science,Physics,0,0
164,Chemistry,Political Science,Aero Engineering,Biology,Chorus1,Chorus2,0,1
165,English,Chemistry,Business,Chinese,Astro Engineering,Optimization,0,0
166,Optimization,Biology,Business,Machine Learning,Astro Engineering,Algebra,1,0
167,Algebra,Machine Learning,Chinese,Optimization,Chemistry,Spanish,1,0
168,Physics,Social Science,Spanish,Political Science,Optimization,History,1,0
169,English,Political Science,Astro Engineering,Algebra,French,Social Science,0,0
170,French,Biology,Political Science,Social Science,Spanish,Aero Engineering,0,0
171,Aero Engineering,Chemistry,Chinese,Spanish,Chorus1,Chorus2,0,1
172,English,French,Algebra,Political Science,Spanish,Chinese,0,0
173,Aero Engineering,Political Science,French,Machine Learning,History,Social Science,0,0
174,Chemistry,Aero Engineering,Machine Learning,Business,Astro Engineering,Algebra,1,0
175,Spanish,Optimization,Political Science,Aero Engineering,Biology,Physics,1,0
176,Astro Engineering,Chemistry,Chinese,Aero Engineering,Business,Biology,0,0
177,Chemistry,Spanish,Optimization,Social Science,Biology,Business,0,0
178,Astro Engineering,English,Algebra,History,Chorus1,Chorus2,0,1
179,Physics,Biology,Machine Learning,French,Chemistry,Political Science,0,0
180,Optimization,Physics,Spanish,Machine Learning,Chorus1,Chorus2,0,1
181,Spanish,Machine Learning,Chinese,History,French,English,0,0
182,Spanish,Physics,Chinese,English,History,Machine Learning,0,0
183,Biology,Political Science,History,Physics,Optimization,English,1,0
184,English,Social Science,Political Science,History,Business,Chinese,0,0
185,Chinese,Business,Physics,Social Science,Political Science,Aero Engineering,0,0
186,Chemistry,Spanish,Aero Engineering,Algebra,Chorus1,Chorus2,0,1
187,Aero Engineering,English,Biology,Political Science,History,French,1,0
188,Chemistry,Political Science,Aero Engineering,Chinese,History,Physics,1,0
189,French,Physics,Optimization,Chinese,Social Science,Chemistry,0,0
190,Business,History,Political Science,Spanish,Machine Learning,Aero Engineering,1,0
191,French,Spanish,Chemistry,Business,Chorus1,Chorus2,0,1
192,Social Science,Chinese,English,Political Science,Aero Engineering,Biology,0,0
193,Chemistry,Astro Engineering,Political Science,Spanish,Physics,English,1,0
194,English,Business,Aero Engineering,Astro Engineering,Social Science,French,0,0
195,Biology,Machine Learning,Political Science,Astro Engineering,French,Aero Engineering,1,0
196,Biology,Physics,French,Social Science,Chorus1,Chorus2,0,1
197,Optimization,Business,History,Astro Engineering,Machine Learning,Spanish,0,0
198,Chinese,Optimization,Social Science,Biology,French,Chemistry,0,0
199,Aero Engineering,English,Political Science,History,Astro Engineering,Spanish,1,0
200,Business,Biology,English,Chinese,Chorus1,Chorus2,0,1
201,Algebra,Chinese,Machine Learning,History,Chorus1,Chorus2,0,1
202,Business,English,Political Science,Chemistry,Optimization,Algebra,1,0
203,Algebra,Business,Chemistry,Social Science,Chorus1,Chorus2,0,1
204,Algebra,Political Science,Chemistry,Spanish,Chorus1,Chorus2,0,1
205,Chemistry,Algebra,Aero Engineering,Optimization,Political Science,Chinese,0,0
206,Spanish,Business,Chemistry,Astro Engineering,Chinese,Physics,0,0
207,Spanish,Chemistry,English,Social Science,Astro Engineering,Optimization,0,0
208,Chemistry,Algebra,Spanish,Aero Engineering,Chorus1,Chorus2,0,1
209,History,Optimization,French,Chemistry,Social Science,Political Science,0,0
210,Chemistry,History,Chinese,Algebra,Spanish,Astro Engineering,1,0
211,Physics,Chemistry,Algebra,Biology,French,Chinese,1,0
212,Machine Learning,Chinese,Physics,Astro Engineering,Political Science,Social Science,0,0
213,Aero Engineering,English,Chemistry,Physics,Algebra,Business,1,0
214,Astro Engineering,Machine Learning,History,Algebra,Chorus1,Chorus2,0,1
215,Physics,Machine Learning,Business,Chemistry,Biology,Algebra,0,0
216,Chemistry,English,Spanish,Physics,Chorus1,Chorus2,0,1
217,English,Physics,Machine Learning,Social Science,Chorus1,Chorus2,0,1
218,Chemistry,Physics,French,History,Aero Engineering,Optimization,0,0
219,Biology,Algebra,Optimization,Physics,Machine Learning,French,0,0
220,Biology,Physics,Optimization,Business,French,Social Science,0,0
221,History,French,Astro Engineering,Optimization,Physics,Chinese,0,0
222,Optimization,English,Astro Engineering,Physics,Algebra,Spanish,0,0
223,Machine Learning,Astro Engineering,Optimization,Chinese,Biology,Chemistry,1,0
224,Social Science,Optimization,Physics,Machine Learning,Chorus1,Chorus2,0,1
225,Machine Learning,French,Social Science,English,Chorus1,Chorus2,0,1
226,Biology,Aero Engineering,Business,Astro Engineering,English,Algebra,0,0
227,Physics,Spanish,English,Astro Engineering,Chemistry,Social Science,0,0
228,Chinese,Algebra,History,Social Science,Chorus1,Chorus2,0,1
229,Chinese,Spanish,Astro Engineering,French,History,Physics,0,0
230,English,Political Science,Chemistry,Machine Learning,Chorus1,Chorus2,0,1
231,Physics,Aero Engineering,Biology,Spanish,Chorus1,Chorus2,0,1
232,History,Biology,Chinese,Machine Learning,Spanish,Optimization,1,0
233,Political Science,Machine Learning,Aero Engineering,Algebra,Business,Biology,0,0
234,Physics,Aero Engineering,French,Algebra,Business,History,0,0
235,Algebra,Optimization,Chemistry,Spanish,English,Political Science,0,0
236,French,Physics,Chinese,Machine Learning,History,Social Science,1,0
237,Optimization,Chemistry,Algebra,Physics,Aero Engineering,Machine Learning,0,0
238,Optimization,Algebra,History,Biology,Astro Engineering,English,0,0
239,Aero Engineering,Physics,Biology,Spanish,Social Science,Chinese,0,0
240,Machine Learning,English,Political Science,Chemistry,Physics,History,0,0
241,Aero Engineering,Biology,Astro Engineering,Spanish,French,Chemistry,0,0
242,Chinese,French,Spanish,Aero Engineering,Algebra,Astro Engineering,0,0
243,Spanish,French,Astro Engineering,Algebra,Physics,Aero Engineering,0,0
244,English,Business,History,Aero Engineering,Machine Learning,Chinese,0,0
245,Spanish,Chemistry,Astro Engineering,Business,French,Machine Learning,0,0
246,Social Science,Optimization,History,English,Chorus1,Chorus2,0,1
247,Physics,Aero Engineering,Social Science,Political Science,English,French,0,0
248,French,Optimization,English,Physics,Chorus1,Chorus2,0,1
249,Physics,Algebra,Chinese,Business,Chorus1,Chorus2,0,1
250,Machine Learning,Algebra,Political Science,Biology,History,Chemistry,1,0
251,Algebra,Optimization,Social Science,Physics,Political Science,Biology,0,0
252,Spanish,Algebra,History,Aero Engineering,Optimization,Biology,0,0
253,Spanish,Social Science,French,Biology,Optimization,Machine Learning,0,0
254,History,Business,Algebra,Optimization,Physics,Chinese,0,0
255,Spanish,Chemistry,Political Science,History,Chorus1,Chorus2,0,1
256,Machine Learning,Chemistry,Chinese,Aero Engineering,Chorus1,Chorus2,0,1
257,Algebra,Political Science,Spanish,Optimization,English,Social Science,0,0
258,Physics,Aero Engineering,Social Science,English,Algebra,Machine Learning,0,0
259,English,Spanish,Machine Learning,Aero Engineering,Chinese,Astro Engineering,0,0
260,Astro Engineering,Chemistry,Physics,Algebra,Political Science,Biology,0,0
261,Biology,Business,Astro Engineering,French,Spanish,Social Science,0,0
262,French,Political Science,Optimization,Aero Engineering,Machine Learning,English,1,0
263,Machine Learning,Algebra,English,Aero Engineering,Chorus1,Chorus2,0,1
264,History,Optimization,Social Science,Business,Aero Engineering,Astro Engineering,0,0
265,Spanish,Social Science,Business,History,Algebra,French,0,0
266,Optimization,Astro Engineering,Physics,Aero Engineering,Business,Spanish,0,0
267,Chinese,Astro Engineering,Aero Engineering,Machine Learning,Chorus1,Chorus2,0,1
268,Spanish,Business,English,Social Science,Astro Engineering,Chemistry,0,0
269,Social Science,Spanish,Chemistry,Machine Learning,English,French,0,0
270,Algebra,Chinese,French,Machine Learning,Business,Biology,0,0
271,Physics,Aero Engineering,Machine Learning,Business,Biology,Optimization,1,0
272,Biology,French,Spanish,Algebra,Chorus1,Chorus2,0,1
273,Chinese,Optimization,Aero Engineering,French,English,Physics,0,0
274,Business,English,Chinese,Biology,Aero Engineering,Political Science,0,0
275,Biology,Business,French,Chemistry,Chorus1,Chorus2,0,1
276,Chemistry,English,Biology,Social Science,Political Science,Machine Learning,0,0
277,Physics,Aero Engineering,History,Business,Biology,Optimization,0,0
278,Business,Optimization,Machine Learning,Chemistry,Astro Engineering,Political Science,0,0
279,Chemistry,Optimization,Biology,English,Aero Engineering,Spanish,0,0
280,Spanish,Chinese,English,Biology,Chorus1,Chorus2,0,1
281,Physics,Political Science,Business,Aero Engineering,Chorus1,Chorus2,0,1
282,Chemistry,Machine Learning,English,Algebra,Chorus1,Chorus2,0,1
283,History,Physics,Optimization,Astro Engineering,Chorus1,Chorus2,0,1
284,Chemistry,Spanish,Business,Chinese,Algebra,Astro Engineering,1,0
285,Biology,Business,Optimization,Aero Engineering,Chemistry,History,0,0
286,Optimization,Astro Engineering,Social Science,History,Political Science,Algebra,1,0
287,Physics,Chemistry,Political Science,Astro Engineering,French,Business,0,0
288,Machine Learning,English,Astro Engineering,French,Business,Chinese,0,0
289,Chinese,English,History,Aero Engineering,Astro Engineering,Spanish,0,0
290,Physics,Business,History,Optimization,Chorus1,Chorus2,0,1
291,Machine Learning,English,Biology,Chinese,Social Science,History,0,0
292,Chinese,Optimization,History,Political Science,Chorus1,Chorus2,0,1
293,Aero Engineering,History,French,Algebra,Chorus1,Chorus2,0,1
294,Political Science,Physics,Astro Engineering,History,Social Science,Biology,0,0
295,Spanish,Chinese,Chemistry,French,Political Science,Optimization,0,0
296,History,Chemistry,Machine Learning,Aero Engineering,Algebra,Social Science,0,0
297,Aero Engineering,Spanish,French,Social Science,Optimization,History,0,0
298,Business,Spanish,English,Chemistry,Political Science,Optimization,1,0
299,Optimization,Political Science,Aero Engineering,Biology,Physics,Chinese,1,0
300,Biology,Algebra,Business,English,Machine Learning,Astro Engineering,1,0
301,Optimization,Chemistry,French,Business,History,Social Science,0,0
302,Astro Engineering,Social Science,Algebra,Chinese,Political Science,Aero Engineering,0,0
303,Biology,Optimization,English,Astro Engineering,French,Spanish,1,0
304,Social Science,Chemistry,Business,Aero Engineering,English,Chinese,0,0
305,Optimization,French,History,Machine Learning,Spanish,Social Science,0,0
306,Spanish,Biology,Business,Chinese,Political Science,Machine Learning,0,0
307,Chinese,Algebra,Aero Engineering,Political Science,Chorus1,Chorus2,0,1
308,Political Science,Optimization,Chinese,French,English,Astro Engineering,0,0
309,Spanish,Political Science,Business,Aero Engineering,Algebra,English,0,0
310,History,French,Physics,Business,Spanish,Chemistry,0,0
311,Machine Learning,Aero Engineering,Spanish,Social Science,Chemistry,Business,0,0
312,Astro Engineering,Optimization,Spanish,Algebra,Aero Engineering,Biology,0,0
313,Business,Algebra,Machine Learning,History,Chemistry,Aero Engineering,0,0
314,Optimization,Spanish,Physics,Astro Engineering,History,Aero Engineering,1,0
315,Optimization,Machine Learning,Business,History,Algebra,Physics,1,0
316,Astro Engineering,Algebra,Machine Learning,Physics,Chemistry,Aero Engineering,0,0
317,Spanish,Political Science,Physics,Optimization,French,History,0,0
318,Physics,Algebra,English,Business,Chemistry,Political Science,0,0
319,Spanish,Biology,Chemistry,Business,Chorus1,Chorus2,0,1
320,Optimization,Algebra,English,Machine Learning,Business,Aero Engineering,1,0
321,Biology,Chinese,Optimization,Aero Engineering,History,Social Science,0,0
322,English,Optimization,Aero Engineering,Chemistry,Business,Biology,1,0
323,Optimization,Business,French,History,Chemistry,Aero Engineering,0,0
324,History,Chemistry,Chinese,Optimization,French,Physics,0,0
325,Chemistry,Optimization,Biology,Spanish,Aero Engineering,Machine Learning,0,0
326,Physics,History,Social Science,Business,Astro Engineering,Algebra,0,0
327,Political Science,Algebra,Chinese,History,Social Science,French,0,0
328,Machine Learning,French,Algebra,Chemistry,Political Science,English,0,0
329,Chemistry,History,Aero Engineering,Physics,Machine Learning,English,1,0
330,Physics,Spanish,French,Political Science,Business,Machine Learning,0,0
331,History,Business,Aero Engineering,English,Biology,Optimization,0,0
332,Optimization,Astro Engineering,Political Science,Chemistry,Physics,Social Science,1,0
333,History,Biology,Astro Engineering,Social Science,Machine Learning,Chinese,0,0
334,Optimization,Biology,Chemistry,Chinese,Algebra,English,0,0
335,Biology,Business,Social Science,French,Aero Engineering,Algebra,0,0
336,History,Astro Engineering,Chemistry,Spanish,Chorus1,Chorus2,0,1
337,Chinese,Aero Engineering,History,Political Science,Algebra,Business,0,0
338,English,Optimization,Social Science,Algebra,History,Astro Engineering,0,0
339,Biology,Spanish,Political Science,Chinese,Aero Engineering,Physics,0,0
340,Social Science,Optimization,History,Spanish,Chorus1,Chorus2,0,1
341,French,Machine Learning,History,English,Political Science,Astro Engineering,0,0
342,Physics,Chinese,History,Optimization,Chorus1,Chorus2,0,1
343,Chinese,Business,Social Science,Algebra,Chemistry,English,0,0
344,Chemistry,Social Science,French,Business,Chorus1,Chorus2,0,1
345,Aero Engineering,Chinese,History,Machine Learning,Spanish,English,0,0
346,Biology,Political Science,Chemistry,Spanish,Algebra,Chinese,0,0
347,Business,Astro Engineering,Chemistry,Machine Learning,Chinese,History,0,0
348,English,French,Social Science,Business,Chinese,Algebra,0,0
349,French,Algebra,Physics,Biology,Chorus1,Chorus2,0,1
350,Chemistry,History,Political Science,Physics,Aero Engineering,Social Science,0,0
351,Physics,Chemistry,French,Political Science,Astro Engineering,Spanish,0,0
352,Astro Engineering,Physics,Business,French,Social Science,Chemistry,1,0
353,Algebra,Spanish,Political Science,English,Social Science,History,1,0
354,Spanish,Optimization,Machine Learning,Chinese,Business,Biology,0,0
355,History,Chemistry,French,Optimization,Political Science,Astro Engineering,0,0
356,Algebra,Political Science,Physics,Chemistry,Biology,Astro Engineering,0,0
357,Business,Algebra,Political Science,Physics,Chorus1,Chorus2,0,1
358,Biology,Aero Engineering,Machine Learning,History,Algebra,Social Science,0,0
359,Chemistry,Political Science,Optimization,Algebra,Chorus1,Chorus2,0,1
360,Social Science,Aero Engineering,Spanish,Chemistry,Political Science,Astro Engineering,0,0
361,Social Science,Aero Engineering,Chinese,History,Biology,Business,0,0
362,Social Science,Political Science,French,Chinese,Astro Engineering,Aero Engineering,1,0
363,Aero Engineering,English,Chinese,Machine Learning,Algebra,Political Science,0,0
364,Biology,Optimization,Chinese,Physics,Business,Spanish,0,0
365,Chinese,Machine Learning,Optimization,Business,Algebra,Biology,1,0
366,Algebra,Chinese,History,French,Physics,Astro Engineering,0,0
367,History,Biology,Spanish,Physics,French,Chemistry,1,0
368,English,Spanish,Social Science,History,Astro Engineering,Business,0,0
369,Social Science,Business,Physics,Aero Engineering,History,French,1,0
370,Optimization,Aero Engineering,Social Science,Machine Learning,Chorus1,Chorus2,0,1
371,Social Science,Biology,Chemistry,Aero Engineering,History,English,0,0
372,Spanish,Physics,Political Science,Social Science,Chinese,Aero Engineering,1,0
373,Social Science,Business,Astro Engineering,Algebra,Aero Engineering,French,0,0
374,Algebra,Machine Learning,Chemistry,Chinese,Chorus1,Chorus2,0,1
375,Social Science,Physics,French,Machine Learning,Chorus1,Chorus2,0,1
376,Chinese,Business,French,History,Chorus1,Chorus2,0,1
377,History,Machine Learning,Physics,Algebra,Chinese,Social Science,0,0
378,Chinese,History,French,Biology,Algebra,Aero Engineering,0,0
379,Business,History,English,Chemistry,Chorus1,Chorus2,0,1
380,Spanish,History,English,Machine Learning,Business,French,1,0
381,Optimization,History,Astro Engineering,Algebra,Spanish,Aero Engineering,0,0
382,Chemistry,Biology,History,English,Spanish,Algebra,1,0
383,English,Spanish,Biology,French,History,Chemistry,0,0
384,Algebra,Social Science,Physics,Chemistry,Chinese,Machine Learning,0,0
385,Biology,History,Astro Engineering,English,Political Science,Aero Engineering,0,0
386,Chinese,Algebra,Aero Engineering,Chemistry,Social Science,Biology,0,0
387,English,Astro Engineering,Aero Engineering,Chinese,Chorus1,Chorus2,0,1
388,Spanish,Aero Engineering,Chemistry,Physics,Political Science,English,0,0
389,Machine Learning,Biology,Astro Engineering,Aero Engineering,French,Algebra,0,0
390,Optimization,Social Science,English,Chinese,Machine Learning,Spanish,1,0
391,History,Chemistry,French,Spanish,Aero Engineering,Social Science,0,0
392,History,English,Aero Engineering,Chemistry,Business,Political Science,0,0
393,History,Aero Engineering,Optimization,Algebra,English,Biology,1,0
394,Political Science,Physics,Biology,Optimization,Business,History,0,0
395,Machine Learning,Optimization,Political Science,English,Aero Engineering,Social Science,0,0
396,Spanish,History,Astro Engineering,Biology,Machine Learning,Aero Engineering,1,0
